Num,Año,Mes,Día,Horas,Base Operativa Kiteni,PS-1,PS-2,PS-3,PS-4
307,2016,11,2,6:00A18:153,1.2,2.1,0.0,0.0,0.0
308,2016,11,3,18:00A6:153,1.2,3.6,0.0,2.0,0.0
309,2016,11,4,6:00A18:154,1.2,3.0,0.0,26.0,0.8
310,2016,11,5,18:00A6:154,1.2,3.0,0.0,24.2,8.4
311,2016,11,6,6:00A18:155,1.2,3.0,0.0,2.6,1.4
312,2016,11,7,18:00A6:155,1.2,3.0,0.0,0.0,0.0
313,2016,11,8,6:00A18:156,1.2,3.0,0.0,0.0,0.0
314,2016,11,9,18:00A6:156,1.2,3.0,0.0,0.0,0.0
315,2016,11,10,6:00A18:157,1.2,3.0,0.0,1.4,14.0
316,2016,11,11,18:00A6:157,1.2,0.4,0.0,0.0,0.0
317,2016,11,12,6:00A18:158,1.2,42.2,0.0,0.0,0.0
318,2016,11,13,18:00A6:158,1.2,8.2,0.0,0.0,0.0
319,2016,11,14,6:00A18:159,1.2,21.3,0.0,0.0,0.0
320,2016,11,15,18:00A6:159,1.2,3.0,0.0,0.0,0.0
321,2016,11,16,6:00A18:160,1.2,1.2,0.0,0.0,0.0
322,2016,11,17,18:00A6:160,28.8,3.0,0.0,15.2,5.3
323,2016,11,18,6:00A18:161,2.6,16.6,0.0,0.0,0.0
324,2016,11,19,18:00A6:161,0.8,3.0,0.0,0.0,0.0
325,2016,11,20,6:00A18:162,1.2,42.9,0.0,0.0,0.0
326,2016,11,21,18:00A6:162,1.2,3.0,0.0,0.0,0.0
327,2016,11,22,6:00A18:163,1.2,3.0,0.0,1.4,3.0
328,2016,11,23,18:00A6:163,1.2,26.6,0.0,0.0,0.0
329,2016,11,24,6:00A18:164,1.2,3.0,0.0,0.0,0.0
330,2016,11,25,18:00A6:164,36.8,2.4,0.0,0.0,0.0
331,2016,11,26,6:00A18:165,0.6,7.8,0.0,1.4,0.0
332,2016,11,27,18:00A6:165,1.2,3.0,0.0,3.0,1.2
333,2016,11,28,6:00A18:166,1.2,5.0,0.0,0.0,8.2
334,2016,11,29,18:00A6:166,1.2,1.0,0.0,0.0,0.0
335,2016,11,30,6:00A18:167,1.2,3.0,0.0,12.8,3.1
